國文,英文,數學,地理,歷史
52,74,69,74,84
51,85,73,53,97
95,53,85,97,58
100,89,68,86,62
61,80,67,82,85
91,67,62,54,73
68,78,56,63,62
91,51,77,54,86
55,77,92,63,84
100,60,93,78,61
70,59,72,93,83
56,59,53,95,91
68,52,100,56,66
64,65,73,88,91
52,52,70,85,57
82,62,57,63,60
69,87,71,58,56
52,59,95,70,68
53,73,76,100,66
77,85,71,66,91
89,81,69,88,85
74,98,57,95,89
85,66,94,93,59
76,98,89,79,96
89,79,100,99,59
95,74,83,85,91
62,99,72,51,65
86,61,67,57,68
95,83,53,100,55
60,74,60,91,88
75,94,88,72,75
58,77,50,68,58
87,77,87,90,91
73,76,82,78,77
78,96,99,94,67
76,54,74,74,50
97,58,75,54,73
75,82,83,67,80
94,68,86,70,93
73,81,87,77,54
67,77,54,100,95
100,56,97,56,93
69,61,79,65,80
62,94,72,92,94
55,66,97,97,57
52,72,84,58,57
81,80,92,80,50
67,57,93,61,93
68,52,62,64,75
72,67,79,61,98
